isbn|name|category|writer|publisher|first_pub_date|page_count
9786053757740|Vakıf ve İmparatorluk|Roman|Isaac Asimov|İthaki Yayınları|2018|284
9786059144964|Genç Werther'in Acıları|Roman|Johann Wolfgang Von Goethe|İndigo Kitap|2017|160
9786052955697|Monte Cristo Kontu-Hasan Ali Yücel Klasikler|Roman|Alexandre Dumas|İş Bankası Kültür Yayınları|2018|1552
9786059820370|Horror Story Seti-3 Kitap Takım Kutulu|Roman|Kolektif|Elhamra|2018|608
9786053758709|Dokudünya-Karanlık Kitaplık|Roman|Clive Barker|İthaki Yayınları|2018|656
9786050948240|Rüzgarın Şarkısını Dinle|Roman|Haruki Murakami|Doğan Kitap|2018|168
9789754371543|Toprak Ana|Roman|Cengiz Aytmatov|Ötüken Neşriyat|1999|138
9789752111929|Kayıp Sembol|Roman|Dan Brown|Altın Kitaplar|2009|528
9786056587887|Yaşamak|Roman|Yu Hua|Jaguar Kitap|2016|210
9786053325543|Dr. Jekyll ile Bay Hyde|Roman|Robert Louis Stevenson|İş Bankası Kültür Yayınları|2015|104
9786053758686|İtfaiyeci|Roman|Joe Hill|İthaki Yayınları|2018|704
9786053600138|Beyaz Diş|Roman|Jack London|İş Bankası Kültür Yayınları|2010|258
9786053754794|Dune|Roman|Frank Herbert|İthaki Yayınları|2015|712
2789788610523|Modern Dünya Klasikleri Seti - 7 Kitap Takım|Roman|Kolektif|İndigo Kitap|2017|0
9786052982617|Ölüm Bir Varmış Bir Yokmuş|Roman|Jose Saramago|Kırmızı Kedi|2013|206
9789750809958|Harry Potter ve Melez Prens - 6. Kitap|Roman|J. K. Rowling|Yapı Kredi Yayınları|2005|596
9789755705866|İnci|Roman|John Steinbeck|Sel Yayıncılık|2012|102
9786051418537|Uyumsuz Defne Kaman'ın Maceraları-Toprak|Roman|Buket Uzuner|Everest Yayınları|2015|560
9786053329121|Clarissa|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2017|184
9786052952528|Zaman Makinesi|Roman|H. G. Wells|İş Bankası Kültür Yayınları|2017|120
9789750807176|İnce Memed 2|Roman|Yaşar Kemal|Yapı Kredi Yayınları|1969|470
9789750806452|Harry Potter ve Zümrüdüanka Yoldaşlığı - 5.kitap|Roman|J. K. Rowling|Yapı Kredi Yayınları|2003|975
2789786035236|İmzalı-Nar Ağacı|Roman|Nazan Bekiroğlu|Timaş Yayınları|2012|536
9789752201699|Çanlar Kimin İçin Çalıyor|Roman|Ernest Hemingway|Bilgi Yayınevi|2006|496
9789750512018|Peri Gazozu|Roman|Ercan Kesal|İletişim Yayıncılık|2013|180
9786053336778|Fatih Harbiye|Roman|Peyami Safa|Beta Yayınları|2016|128
9789752116832|Cehennem|Roman|Dan Brown|Altın Kitaplar|2013|576
9789750502057|Oğullar ve Rencide Ruhlar|Roman|Alper Canıgüz|İletişim Yayıncılık|2003|204
9789754587029|Gurur ve Önyargı - Hasan Ali Yücel Klasikleri|Roman|Jane Austen|İş Bankası Kültür Yayınları|2006|408
9789753425988|Yüzüklerin Efendisi - I - Yüzük Kardeşliği|Roman|J.R.R. Tolkien|Metis Yayıncılık|2000|496
9786052177365|Wildcard-Joker Oyuncusunun Hikayesi|Roman|Marie Lu|Yabancı|2018|344
9789752105737|İhanet Noktası|Roman|Dan Brown|Altın Kitaplar|2005|512
9789753420570|Yerdeniz Büyücüsü - Yerdeniz Üçlemesi 1|Roman|Ursula K. Le Guin|Metis Yayıncılık|2017|192
9786053326557|Mürebbiye|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2016|96
9789944887632|Vahşetin Çağrısı|Roman|Jack London|İş Bankası Kültür Yayınları|2010|112
9789752100299|Yeşil Yol|Roman|Stephen King|Altın Kitaplar|2000|428
9789752123144|Sis-Tam Metin|Roman|Stephen King|Altın Kitaplar|2017|640
9786058720367|Peygamberden Sonra|Roman|Lesley Hazleton|Kitabix Yayınları|2013|223
9786055159832|Sonbahar|Roman|Karl Ove Knausgaard|Monokl|2018|228
9789750516832|Fakat Müzeyyen Bu Derin Bir Tutku|Roman|İlhami Algör|İletişim Yayıncılık|2014|65
9786051882673|İyi Geceler Bay Tom|Roman|Michelle Magorian|Beyaz Balina Yayınları|2018|404
9789752486201|Satranç|Roman|Stefan Zweig|Kırmızı Çatı|2018|80
9786059641371|Bir Delinin Hatıra Defteri|Roman|Nikolay Vasilyeviç Gogol|Aspendos Yayıncılık|2017|112
9786059232289|Söylemeyeceğine Söz Ver|Roman|Jennifer McMahon|Ephesus Yayınları|2012|368
9789750806735|Filler Sultanı ile Kırmızı Sakallı|Roman|Yaşar Kemal|Yapı Kredi Yayınları|1977|218
9786052950524|Alice Harikalar Diyarında|Roman|Lewis Carroll|İş Bankası Kültür Yayınları|2017|112
9789750525148|Tuhaflıklar Fabrikası|Roman|Eyüp Aygün Tayşir|İletişim Yayıncılık|2018|201
9786053326168|Gömülü Şamdan|Roman|Stefan Zweig|İş Bankası Kültür Yayınları|2015|120
9789750825927|Benim Adım Kırmızı|Roman|Orhan Pamuk|Yapı Kredi Yayınları|2013|552
9786053114680|Yanlış Giden Bir Şeyler Var|Roman|Mesud Topal|Destek Yayınları|2018|176
9786050904222|Engereğin Gözü|Roman|Zülfü Livaneli|Doğan Kitap|2011|168
9789944888035|Bir Delinin Anı Defteri - Hasan Ali Yücel Klasikleri|Roman|Nikolay Vasilyeviç Gogol|İş Bankası Kültür Yayınları|2010|223
9786051850481|Ben Bir Gürgen Dalıyım|Roman|Hasan Ali Toptaş|Everest Yayınları|2016|160
9786053142492|Kapıyı İçeriden Kilitledim|Roman|Özlem Narin Yılmaz|Ayrıntı Yayınları|2017|112
9786059144902|İnsan Neyle Yaşar?|Roman|Lev Nikolayeviç Tolstoy|İndigo Kitap|2017|88
9786053140177|Bir Gün Tek Başına|Roman|Vedat Türkali|Ayrıntı Yayınları|2015|752
9786054308835|Beyaz Zambaklar Ülkesinde|Roman|Grigory Petrov|Tutku Yayınevi|2000|156
9789944756938|Kabil|Roman|Jose Saramago|Kırmızı Kedi|2011|152
9789750725036|Düşüş|Roman|Albert Camus|Can Yayınları|2000|99
9789752731547|Kurt Kanunu|Roman|Kemal Tahir|İthaki Yayınları|1969|304
9786054228379|Shantaram|Roman|Gregory David Roberts|Artemis Yayınları|2009|863
9789750807015|Binboğalar Efsanesi|Roman|Yaşar Kemal|Yapı Kredi Yayınları|1971|290
9789752207844|Beyaz Zambaklar Ülkesinde|Roman|Grigority Petrov|Bilgi Yayınevi|2018|120
